ESM_IndexOutOfBounds,ESM_NullPointer,ESM_ClassCast,ESM_Arithmetic,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,Number of Bugs
0,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,9.0,6.0,13.0,28.0,3.0,11.0,0.857143,0.614458,51.0,51.0,6.0,1.0,0.459459,51.0,1.0,1.0,0.0,0.0,1.0,32.0,62.0,1.0,0.0,1.0,0.0,8.0,0.0,6.0,0.0,8.0,9.0,0.0,6.0,0.0,60.0,93.0,3.0,0.0,2.0,0.0,12.0,0.0,10.0,0.0,17.0,21.0,0.0,11.0,0.0,1.0
0,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,18.0,8.0,28.0,60.0,8.0,23.0,0.909091,0.716279,154.0,154.0,10.0,1.0,0.660944,154.0,1.0,1.0,0.0,0.0,1.0,61.0,145.0,2.0,0.0,2.0,0.0,15.0,0.0,10.0,0.0,15.0,20.0,0.0,10.0,0.0,79.0,165.0,3.0,0.0,3.0,0.0,17.0,0.0,12.0,0.0,17.0,27.0,0.0,12.0,0.0,0.0
0,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,16.0,8.0,35.0,79.0,8.0,23.0,0.909091,0.726891,173.0,173.0,10.0,1.0,0.675781,173.0,1.0,1.0,0.0,0.0,1.0,65.0,159.0,2.0,0.0,2.0,0.0,15.0,0.0,10.0,0.0,15.0,23.0,0.0,10.0,0.0,83.0,179.0,3.0,0.0,3.0,0.0,17.0,0.0,12.0,0.0,17.0,30.0,0.0,12.0,0.0,0.0
1,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,16.0,8.0,35.0,79.0,8.0,23.0,0.909091,0.726891,173.0,173.0,10.0,1.0,0.675781,173.0,1.0,1.0,0.0,0.0,1.0,65.0,159.0,2.0,0.0,2.0,0.0,15.0,0.0,10.0,0.0,15.0,23.0,0.0,10.0,0.0,83.0,179.0,3.0,0.0,3.0,0.0,17.0,0.0,12.0,0.0,17.0,30.0,0.0,12.0,0.0,0.0
0,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,16.0,8.0,35.0,79.0,8.0,23.0,0.909091,0.726891,173.0,173.0,10.0,1.0,0.675781,173.0,1.0,1.0,0.0,0.0,1.0,65.0,159.0,2.0,0.0,2.0,0.0,15.0,0.0,10.0,0.0,15.0,23.0,0.0,10.0,0.0,83.0,179.0,3.0,0.0,3.0,0.0,17.0,0.0,12.0,0.0,17.0,30.0,0.0,12.0,0.0,0.0
0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,16.0,8.0,35.0,79.0,8.0,23.0,0.909091,0.726891,173.0,173.0,10.0,1.0,0.675781,173.0,1.0,1.0,0.0,0.0,1.0,65.0,159.0,2.0,0.0,2.0,0.0,15.0,0.0,10.0,0.0,15.0,23.0,0.0,10.0,0.0,83.0,179.0,3.0,0.0,3.0,0.0,17.0,0.0,12.0,0.0,17.0,30.0,0.0,12.0,0.0,0.0
0,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,3.0,17.0,10.0,1.0,5.0,1.0,0.652174,30.0,30.0,5.0,0.0,0.455882,31.0,0.0,0.0,6.0,6.0,0.0,16.0,42.0,1.0,0.0,1.0,0.0,4.0,1.0,4.0,0.0,4.0,5.0,1.0,4.0,0.0,37.0,67.0,1.0,0.0,1.0,0.0,8.0,1.0,8.0,0.0,12.0,14.0,1.0,12.0,0.0,1.0
0,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,6.0,3.0,21.0,14.0,1.0,6.0,1.0,0.618182,34.0,34.0,6.0,0.0,0.4,36.0,0.0,0.0,9.0,9.0,0.0,21.0,52.0,1.0,0.0,1.0,0.0,5.0,1.0,5.0,0.0,5.0,7.0,1.0,5.0,0.0,54.0,92.0,1.0,0.0,1.0,0.0,12.0,1.0,12.0,0.0,21.0,18.0,1.0,21.0,0.0,0.0
0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,6.0,3.0,21.0,14.0,1.0,6.0,1.0,0.618182,34.0,34.0,6.0,0.0,0.4,36.0,0.0,0.0,9.0,9.0,0.0,21.0,52.0,1.0,0.0,1.0,0.0,5.0,1.0,5.0,0.0,5.0,7.0,1.0,5.0,0.0,54.0,92.0,1.0,0.0,1.0,0.0,12.0,1.0,12.0,0.0,21.0,18.0,1.0,21.0,0.0,0.0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,6.0,3.0,21.0,14.0,1.0,6.0,1.0,0.618182,34.0,34.0,6.0,0.0,0.4,36.0,0.0,0.0,9.0,9.0,0.0,21.0,52.0,1.0,0.0,1.0,0.0,5.0,1.0,5.0,0.0,5.0,7.0,1.0,5.0,0.0,54.0,92.0,1.0,0.0,1.0,0.0,12.0,1.0,12.0,0.0,21.0,18.0,1.0,21.0,0.0,0.0
0,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,6.0,3.0,21.0,14.0,1.0,6.0,1.0,0.618182,34.0,34.0,6.0,0.0,0.4,36.0,0.0,0.0,9.0,9.0,0.0,21.0,52.0,1.0,0.0,1.0,0.0,5.0,1.0,5.0,0.0,5.0,7.0,1.0,5.0,0.0,54.0,92.0,1.0,0.0,1.0,0.0,12.0,1.0,12.0,0.0,21.0,18.0,1.0,21.0,0.0,0.0
2,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,12.0,6.0,24.0,23.0,1.0,12.0,1.0,0.53,53.0,53.0,12.0,0.0,0.377622,54.0,0.0,0.0,0.0,0.0,0.0,47.0,105.0,2.0,0.0,2.0,0.0,11.0,0.0,11.0,0.0,11.0,13.0,0.0,11.0,0.0,89.0,148.0,2.0,0.0,2.0,0.0,20.0,0.0,11.0,0.0,27.0,27.0,0.0,11.0,0.0,1.0
2,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,14.0,6.0,25.0,25.0,1.0,13.0,1.0,0.504762,53.0,53.0,12.0,0.0,0.329193,53.0,0.0,0.0,0.0,0.0,0.0,52.0,111.0,2.0,0.0,2.0,0.0,12.0,0.0,11.0,0.0,12.0,15.0,0.0,11.0,0.0,108.0,171.0,3.0,0.0,3.0,0.0,23.0,0.0,11.0,0.0,44.0,36.0,0.0,11.0,0.0,0.0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,14.0,6.0,25.0,25.0,1.0,13.0,1.0,0.504762,53.0,53.0,12.0,0.0,0.329193,53.0,0.0,0.0,0.0,0.0,0.0,52.0,111.0,2.0,0.0,2.0,0.0,12.0,0.0,11.0,0.0,12.0,15.0,0.0,11.0,0.0,108.0,171.0,3.0,0.0,3.0,0.0,23.0,0.0,11.0,0.0,44.0,36.0,0.0,11.0,0.0,0.0
0,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,14.0,6.0,25.0,25.0,1.0,13.0,1.0,0.504762,53.0,53.0,12.0,0.0,0.329193,53.0,0.0,0.0,0.0,0.0,0.0,52.0,111.0,2.0,0.0,2.0,0.0,12.0,0.0,11.0,0.0,12.0,15.0,0.0,11.0,0.0,108.0,171.0,3.0,0.0,3.0,0.0,23.0,0.0,11.0,0.0,44.0,36.0,0.0,11.0,0.0,0.0
0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,12.0,11.0,33.0,73.0,11.0,22.0,1.0,0.711268,101.0,101.0,12.0,0.0,0.691781,101.0,0.0,0.0,5.0,5.0,0.0,41.0,139.0,0.0,1.0,0.0,1.0,11.0,0.0,11.0,0.0,11.0,15.0,0.0,11.0,0.0,45.0,143.0,0.0,2.0,0.0,2.0,12.0,0.0,12.0,0.0,22.0,16.0,0.0,22.0,0.0,1.0
0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,12.0,11.0,33.0,73.0,11.0,22.0,1.0,0.711268,101.0,101.0,12.0,0.0,0.691781,101.0,0.0,0.0,5.0,5.0,0.0,41.0,139.0,0.0,1.0,0.0,1.0,11.0,0.0,11.0,0.0,11.0,15.0,0.0,11.0,0.0,45.0,143.0,0.0,2.0,0.0,2.0,12.0,0.0,12.0,0.0,22.0,16.0,0.0,22.0,0.0,0.0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,12.0,11.0,33.0,73.0,11.0,22.0,1.0,0.711268,101.0,101.0,12.0,0.0,0.691781,101.0,0.0,0.0,5.0,5.0,0.0,41.0,139.0,0.0,1.0,0.0,1.0,11.0,0.0,11.0,0.0,11.0,15.0,0.0,11.0,0.0,45.0,143.0,0.0,2.0,0.0,2.0,12.0,0.0,12.0,0.0,22.0,16.0,0.0,22.0,0.0,0.0
0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,7.0,5.0,2.0,5.0,1.0,0.566667,17.0,17.0,3.0,0.0,0.5,17.0,0.0,0.0,1.0,1.0,0.0,13.0,25.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0,0.0,17.0,29.0,1.0,2.0,0.0,2.0,4.0,0.0,3.0,0.0,10.0,4.0,0.0,6.0,0.0,1.0
0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,7.0,5.0,1.0,4.0,1.0,0.548387,17.0,17.0,3.0,0.0,0.5,22.0,0.0,0.0,1.0,1.0,0.0,14.0,26.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0,0.0,22.0,39.0,7.0,10.0,0.0,3.0,5.0,0.0,3.0,0.0,50.0,5.0,0.0,16.0,1.0,0.0
0,29,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,7.0,5.0,1.0,4.0,1.0,0.548387,17.0,17.0,3.0,0.0,0.5,22.0,0.0,0.0,1.0,1.0,0.0,14.0,26.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0,0.0,22.0,39.0,7.0,10.0,0.0,3.0,5.0,0.0,3.0,0.0,50.0,5.0,0.0,16.0,1.0,0.0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,7.0,5.0,1.0,4.0,1.0,0.548387,17.0,17.0,3.0,0.0,0.5,22.0,0.0,0.0,1.0,1.0,0.0,14.0,26.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0,0.0,22.0,39.0,7.0,10.0,0.0,3.0,5.0,0.0,3.0,0.0,50.0,5.0,0.0,16.0,1.0,0.0
0,22,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,33.0,0.0,102.0,86.0,0.0,23.0,0.857143,0.478049,98.0,98.0,18.0,3.0,0.478049,98.0,0.0,0.0,0.0,0.0,0.0,107.0,215.0,6.0,7.0,6.0,7.0,23.0,2.0,20.0,0.0,23.0,46.0,2.0,20.0,0.0,107.0,215.0,6.0,7.0,6.0,7.0,23.0,2.0,20.0,0.0,23.0,46.0,2.0,20.0,0.0,0.0
0,22,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,32.0,0.0,113.0,87.0,0.0,22.0,0.857143,0.487562,98.0,98.0,18.0,3.0,0.487562,98.0,0.0,0.0,0.0,0.0,0.0,103.0,210.0,7.0,7.0,7.0,7.0,22.0,2.0,20.0,0.0,22.0,42.0,2.0,20.0,0.0,103.0,210.0,7.0,7.0,7.0,7.0,22.0,2.0,20.0,0.0,22.0,42.0,2.0,20.0,0.0,0.0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,32.0,0.0,113.0,87.0,0.0,22.0,0.857143,0.487562,98.0,98.0,18.0,3.0,0.487562,98.0,0.0,0.0,0.0,0.0,0.0,103.0,210.0,7.0,7.0,7.0,7.0,22.0,2.0,20.0,0.0,22.0,42.0,2.0,20.0,0.0,103.0,210.0,7.0,7.0,7.0,7.0,22.0,2.0,20.0,0.0,22.0,42.0,2.0,20.0,0.0,0.0
3,31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,28.0,6.0,14.0,35.0,6.0,18.0,0.888889,0.245902,30.0,30.0,8.0,1.0,0.245902,30.0,0.0,0.0,0.0,0.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,1.0
3,31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,30.0,6.0,14.0,36.0,7.0,20.0,0.8,0.230769,30.0,30.0,8.0,2.0,0.230769,30.0,0.0,0.0,0.0,0.0,0.0,100.0,144.0,3.0,9.0,3.0,9.0,13.0,0.0,9.0,0.0,13.0,51.0,0.0,9.0,0.0,100.0,144.0,3.0,9.0,3.0,9.0,13.0,0.0,9.0,0.0,13.0,51.0,0.0,9.0,0.0,2.0
3,31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,28.0,6.0,16.0,40.0,6.0,18.0,0.888889,0.245902,30.0,30.0,8.0,1.0,0.245902,30.0,0.0,0.0,0.0,0.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,1.0
3,31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,30.0,6.0,16.0,44.0,6.0,19.0,0.8,0.24,30.0,30.0,8.0,2.0,0.24,30.0,0.0,0.0,0.0,0.0,0.0,95.0,139.0,3.0,9.0,3.0,9.0,13.0,0.0,9.0,0.0,13.0,47.0,0.0,9.0,0.0,95.0,139.0,3.0,9.0,3.0,9.0,13.0,0.0,9.0,0.0,13.0,47.0,0.0,9.0,0.0,0.0
1,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,28.0,6.0,16.0,40.0,6.0,18.0,0.888889,0.245902,30.0,30.0,8.0,1.0,0.245902,30.0,0.0,0.0,0.0,0.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,1.0
0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,28.0,6.0,16.0,40.0,6.0,18.0,0.888889,0.245902,30.0,30.0,8.0,1.0,0.245902,30.0,0.0,0.0,0.0,0.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,1.0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,28.0,6.0,16.0,40.0,6.0,18.0,0.888889,0.245902,30.0,30.0,8.0,1.0,0.245902,30.0,0.0,0.0,0.0,0.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,1.0
2,46,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,28.0,6.0,16.0,40.0,6.0,18.0,0.888889,0.245902,30.0,30.0,8.0,1.0,0.245902,30.0,0.0,0.0,0.0,0.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,1.0
0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,28.0,6.0,16.0,40.0,6.0,18.0,0.888889,0.245902,30.0,30.0,8.0,1.0,0.245902,30.0,0.0,0.0,0.0,0.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,1.0
1,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,2.0,9.0,12.0,2.0,6.0,0.4,0.472727,26.0,19.0,2.0,3.0,0.472727,26.0,0.0,0.0,1.0,1.0,0.0,29.0,56.0,2.0,2.0,2.0,2.0,4.0,0.0,4.0,0.0,4.0,11.0,0.0,4.0,0.0,29.0,56.0,2.0,2.0,2.0,2.0,4.0,0.0,4.0,0.0,4.0,11.0,0.0,4.0,0.0,1.0
1,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,13.0,2.0,9.0,12.0,2.0,9.0,0.25,0.356164,26.0,19.0,2.0,6.0,0.356164,26.0,0.0,0.0,1.0,1.0,0.0,47.0,77.0,2.0,2.0,2.0,2.0,7.0,0.0,7.0,0.0,7.0,17.0,0.0,7.0,0.0,47.0,77.0,2.0,2.0,2.0,2.0,7.0,0.0,7.0,0.0,7.0,17.0,0.0,7.0,0.0,0.0
0,7,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,13.0,2.0,9.0,12.0,2.0,9.0,0.25,0.356164,26.0,19.0,2.0,6.0,0.356164,26.0,0.0,0.0,1.0,1.0,0.0,47.0,77.0,2.0,2.0,2.0,2.0,7.0,0.0,7.0,0.0,7.0,17.0,0.0,7.0,0.0,47.0,77.0,2.0,2.0,2.0,2.0,7.0,0.0,7.0,0.0,7.0,17.0,0.0,7.0,0.0,0.0
0,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,12.0,8.0,60.0,8.0,7.0,17.0,1.0,0.494382,44.0,44.0,4.0,0.0,0.5,51.0,3.0,5.0,6.0,7.0,1.0,45.0,95.0,6.0,7.0,1.0,2.0,10.0,0.0,3.0,0.0,39.0,16.0,0.0,10.0,1.0,51.0,104.0,6.0,7.0,1.0,2.0,11.0,0.0,3.0,0.0,40.0,16.0,0.0,10.0,1.0,1.0
0,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,12.0,8.0,63.0,8.0,7.0,17.0,1.0,0.494382,44.0,44.0,4.0,0.0,0.5,51.0,3.0,5.0,6.0,7.0,1.0,45.0,95.0,6.0,7.0,1.0,2.0,10.0,0.0,3.0,0.0,39.0,16.0,0.0,10.0,1.0,51.0,104.0,6.0,7.0,1.0,2.0,11.0,0.0,3.0,0.0,40.0,16.0,0.0,10.0,1.0,0.0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,12.0,8.0,63.0,8.0,7.0,17.0,1.0,0.494382,44.0,44.0,4.0,0.0,0.5,51.0,3.0,5.0,6.0,7.0,1.0,45.0,95.0,6.0,7.0,1.0,2.0,10.0,0.0,3.0,0.0,39.0,16.0,0.0,10.0,1.0,51.0,104.0,6.0,7.0,1.0,2.0,11.0,0.0,3.0,0.0,40.0,16.0,0.0,10.0,1.0,0.0
0,40,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,55.0,25.0,15.0,39.0,28.0,59.0,0.714286,0.409742,143.0,143.0,5.0,2.0,0.394521,144.0,2.0,4.0,2.0,17.0,3.0,206.0,377.0,5.0,6.0,5.0,6.0,31.0,0.0,6.0,1.0,32.0,93.0,0.0,7.0,1.0,221.0,394.0,5.0,6.0,5.0,6.0,36.0,0.0,11.0,1.0,37.0,97.0,0.0,12.0,1.0,1.0
0,40,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,49.0,24.0,15.0,33.0,26.0,55.0,0.714286,0.425676,126.0,126.0,5.0,2.0,0.407051,127.0,2.0,4.0,2.0,14.0,3.0,170.0,326.0,5.0,6.0,5.0,6.0,29.0,0.0,6.0,1.0,30.0,77.0,0.0,7.0,1.0,185.0,343.0,5.0,6.0,5.0,6.0,34.0,0.0,11.0,1.0,35.0,81.0,0.0,12.0,1.0,0.0
